"Time","Ambient temperature","Log Burner Flow","Gas Boiler Flow","Solar Coil temperature","Central Heating Flow",
"2017-11-08-02-44-12","11.562","47.375","45.75","43.875","18.687",
"2017-11-08-02-46-06","11.562","47.312","45.687","43.875","18.687",
"2017-11-08-02-47-53","11.562","47.25","45.687","43.937","18.625",
"2017-11-08-02-49-47","11.5","47.187","45.687","44.0","18.625",
"2017-11-08-02-51-39","11.5","47.125","45.687","44.0","18.562",
"2017-11-08-02-53-28","11.562","47.125","45.625","44.062","18.562",
"2017-11-08-02-55-22","11.562","47.062","45.562","44.125","18.5",
"2017-11-08-02-57-19","11.562","47.0","45.562","44.125","18.5",
"2017-11-08-02-59-10","11.562","46.937","45.5","44.187","18.437",
"2017-11-08-03-01-04","11.5","46.875","45.5","44.187","18.437",
"2017-11-08-03-02-58","11.5","46.812","45.5","44.25","18.437",
"2017-11-08-03-04-46","11.562","46.75","45.5","44.25","18.437",
"2017-11-08-03-06-32","11.5","46.687","45.437","44.312","18.375",
"2017-11-08-03-08-23","11.5","46.562","45.437","44.312","18.375",
"2017-11-08-03-10-19","11.5","46.437","45.375","44.375","18.312",
"2017-11-08-03-12-14","11.5","46.375","45.375","44.375","18.312",
"2017-11-08-03-14-05","11.5","46.25","45.312","44.437","18.312",
"2017-11-08-03-15-57","11.5","46.187","45.312","44.437","18.25",
"2017-11-08-03-17-54","11.5","46.062","45.25","44.5","18.25",
"2017-11-08-03-19-46","11.5","46.0","45.25","44.5","18.25",
"2017-11-08-03-21-35","11.437","45.875","45.187","44.5","18.187",
"2017-11-08-03-23-28","11.375","45.75","45.125","44.562","18.187",
"2017-11-08-03-25-21","11.437","45.562","45.125","44.562","18.187",
"2017-11-08-03-27-12","11.375","45.437","45.125","44.625","18.125",
"2017-11-08-03-29-02","11.375","45.375","45.062","44.625","18.125",
"2017-11-08-03-30-48","11.375","45.25","45.062","44.687","18.125",
"2017-11-08-03-32-38","11.375","45.187","45.0","44.687","18.062",
"2017-11-08-03-34-29","11.312","45.062","45.0","44.687","18.062",
"2017-11-08-03-36-20","11.312","44.937","44.937","44.75","18.062",
"2017-11-08-03-38-09","11.312","44.812","44.937","44.75","18.0",
"2017-11-08-03-39-58","11.312","44.625","44.937","44.75","18.0",
"2017-11-08-03-41-47","11.25","44.5","44.875","44.75","18.0",
"2017-11-08-03-43-39","11.25","44.375","44.812","44.812","17.937",
"2017-11-08-03-45-26","11.25","44.187","44.812","44.812","17.937",
"2017-11-08-03-47-12","11.125","44.062","44.75","44.812","17.875",
"2017-11-08-03-49-06","11.125","43.875","44.687","44.875","17.875",
"2017-11-08-03-51-02","11.187","43.75","44.687","44.875","17.875",
"2017-11-08-03-52-56","11.125","43.562","44.625","44.875","17.812",
"2017-11-08-03-54-47","11.125","43.375","44.625","44.875","17.812",
"2017-11-08-03-56-38","11.125","43.375","44.562","44.875","17.812",
"2017-11-08-03-58-27","11.125","43.437","44.562","44.937","17.75",
"2017-11-08-04-00-24","11.187","43.812","44.562","44.937","17.75",
"2017-11-08-04-02-16","11.062","44.812","44.5","44.937","17.75",
"2017-11-08-04-04-04","11.125","47.0","44.437","44.937","17.687",
"2017-11-08-04-05-53","11.125","51.75","44.375","45.0","17.687",
"2017-11-08-04-07-43","11.125","55.937","44.312","45.0","17.687",
"2017-11-08-04-09-32","11.187","58.562","44.312","45.0","17.687",
"2017-11-08-04-11-20","11.125","59.187","44.312","45.0","17.687",
"2017-11-08-04-13-13","11.125","58.812","44.312","45.062","17.687",
"2017-11-08-04-15-06","11.187","58.25","44.312","45.062","17.687",
"2017-11-08-04-17-00","11.187","57.625","44.312","45.062","17.625",
"2017-11-08-04-18-54","11.125","56.937","44.25","45.062","17.625",
"2017-11-08-04-20-47","11.125","56.5","44.25","45.125","17.625",
"2017-11-08-04-22-35","11.125","56.187","44.25","45.187","17.625",
"2017-11-08-04-24-28","11.125","55.937","44.25","45.187","17.625",
"2017-11-08-04-26-22","11.125","55.75","44.25","45.187","17.625",
"2017-11-08-04-28-09","11.125","55.562","44.25","45.25","17.625",
"2017-11-08-04-29-55","11.125","55.375","44.25","45.25","17.625",
"2017-11-08-04-31-43","11.062","55.25","44.25","45.312","17.562",
"2017-11-08-04-33-35","11.062","54.75","44.312","45.312","17.562",
"2017-11-08-04-35-28","11.062","53.937","44.25","45.375","17.625",
"2017-11-08-04-37-24","11.125","53.25","44.25","45.375","17.625",
"2017-11-08-04-39-17","11.062","52.562","44.312","45.437","17.625",
"2017-11-08-04-41-08","11.0","52.062","44.312","45.437","17.625",
"2017-11-08-04-42-58","11.062","51.687","44.25","45.5","17.625",
"2017-11-08-04-44-48","11.062","51.5","44.312","45.5","17.625",
"2017-11-08-04-46-35","11.062","51.375","44.312","45.5","17.625",
"2017-11-08-04-48-28","11.062","51.25","44.375","45.562","17.625",
"2017-11-08-04-50-25","11.125","51.25","44.437","45.562","17.625",
"2017-11-08-04-52-17","11.062","51.25","44.562","45.625","17.625",
"2017-11-08-04-54-07","11.062","51.187","44.75","45.625","17.625",
"2017-11-08-04-55-56","10.937","51.187","45.125","45.625","17.625",
"2017-11-08-04-57-46","11.0","51.25","45.625","45.687","17.625",
"2017-11-08-04-59-38","11.0","51.687","46.375","45.687","17.625",
"2017-11-08-05-01-32","10.937","52.937","47.187","45.687","17.625",
"2017-11-08-05-03-24","10.937","53.937","47.812","45.75","17.687",
"2017-11-08-05-05-14","10.937","54.187","48.062","45.75","17.625",
"2017-11-08-05-07-05","10.937","53.937","48.312","45.75","17.625",
"2017-11-08-05-08-56","10.875","53.5","48.375","45.75","17.625",
"2017-11-08-05-10-46","10.875","53.125","48.5","45.812","17.625",
"2017-11-08-05-12-43","10.875","52.812","48.625","45.812","17.625",
"2017-11-08-05-14-30","10.812","52.625","48.687","45.812","17.625",
"2017-11-08-05-16-23","10.812","52.437","48.875","45.812","17.625",
"2017-11-08-05-18-10","10.812","52.25","49.062","45.875","17.625",
"2017-11-08-05-20-05","10.812","52.062","49.312","45.875","17.625",
"2017-11-08-05-21-59","10.75","51.937","49.625","45.875","17.625",
"2017-11-08-05-23-55","10.75","51.75","49.875","45.937","17.562",
"2017-11-08-05-25-43","10.75","51.562","50.125","45.937","17.562",
"2017-11-08-05-27-37","10.75","51.437","50.312","45.937","17.562",
"2017-11-08-05-29-27","10.687","51.187","50.5","46.0","17.562",
"2017-11-08-05-31-16","10.687","51.062","50.5","46.0","17.562",
"2017-11-08-05-33-06","10.75","50.937","50.562","46.0","17.562",
"2017-11-08-05-34-56","10.75","50.812","50.5","46.0","17.5",
"2017-11-08-05-36-46","10.687","50.687","50.5","46.062","17.5",
"2017-11-08-05-38-36","10.687","50.562","50.375","46.062","17.5",
"2017-11-08-05-40-25","10.687","50.5","50.312","46.062","17.5",
"2017-11-08-05-42-19","10.625","50.375","50.25","46.125","17.5",
"2017-11-08-05-44-11","10.625","50.312","50.187","46.125","17.5",
"2017-11-08-05-46-04","10.625","50.125","50.062","46.125","17.5",
"2017-11-08-05-47-59","10.625","49.937","49.937","46.187","17.5",
"2017-11-08-05-49-58","10.625","49.75","49.875","46.187","17.437",
"2017-11-08-05-51-47","10.625","49.562","49.812","46.187","17.437",
"2017-11-08-05-53-35","10.625","49.375","49.687","46.25","17.437",
"2017-11-08-05-55-27","10.625","49.125","49.625","46.25","17.437",
"2017-11-08-05-57-15","10.687","48.937","49.562","46.25","17.437",
"2017-11-08-05-59-08","10.562","48.687","49.562","46.312","17.375",
"2017-11-08-06-01-03","10.562","48.437","49.437","46.312","17.375",
"2017-11-08-06-02-54","10.5","48.187","49.437","46.375","17.375",
"2017-11-08-06-04-42","10.562","48.0","49.312","46.375","17.5",
"2017-11-08-06-06-35","10.562","47.812","49.187","46.375","17.562",
"2017-11-08-06-08-22","10.5","47.687","49.062","46.437","17.625",
"2017-11-08-06-10-11","10.562","47.5","49.062","46.5","17.687",
"2017-11-08-06-11-57","10.562","47.312","48.937","46.5","17.75",
"2017-11-08-06-13-47","10.562","47.187","48.875","46.562","17.812",
"2017-11-08-06-15-41","10.625","47.062","48.875","46.562","17.875",
"2017-11-08-06-17-32","10.625","46.937","48.875","46.625","17.875",
"2017-11-08-06-19-22","10.75","46.75","48.812","46.625","17.875",
"2017-11-08-06-21-12","10.75","46.687","48.812","46.687","17.875",
"2017-11-08-06-23-02","10.75","46.562","48.812","46.687","17.937",
"2017-11-08-06-24-52","10.75","46.437","48.75","46.75","17.937",
"2017-11-08-06-26-45","10.75","46.312","48.75","46.75","18.0",
"2017-11-08-06-28-37","10.687","46.187","48.687","46.812","18.0",
"2017-11-08-06-30-28","10.75","46.0","48.625","46.812","18.0",
"2017-11-08-06-32-21","10.687","45.812","44.437","46.875","18.0",
"2017-11-08-06-34-16","10.687","45.562","44.562","46.875","18.0",
"2017-11-08-06-36-10","10.687","45.375","46.687","46.875","18.0",
"2017-11-08-06-38-00","10.687","45.062","47.062","46.937","18.0",
"2017-11-08-06-39-46","10.75","44.875","46.937","46.937","18.0",
"2017-11-08-06-41-40","10.75","44.562","46.812","47.0","18.0",
"2017-11-08-06-43-35","10.75","44.312","46.75","47.0","18.0",
"2017-11-08-06-45-24","10.812","44.0","46.75","47.062","18.0",
"2017-11-08-06-47-17","10.812","43.625","46.75","47.062","18.0",
"2017-11-08-06-49-08","10.812","43.187","46.75","47.062","18.0",
"2017-11-08-06-51-01","10.812","42.687","46.687","47.125","17.937",
"2017-11-08-06-52-50","10.875","42.187","46.625","47.125","17.937",
"2017-11-08-06-54-41","10.875","41.687","46.562","47.125","17.937",
"2017-11-08-06-56-33","10.875","41.25","46.562","47.125","17.937",
"2017-11-08-06-58-21","10.875","40.75","46.562","47.187","17.875",
"2017-11-08-07-00-12","10.812","40.312","46.562","47.187","17.875",
"2017-11-08-07-01-59","10.75","39.937","46.5","47.187","17.875",
"2017-11-08-07-03-50","10.687","39.562","46.5","46.75","32.875",
"2017-11-08-07-05-45","10.687","39.875","46.437","38.687","46.937",
"2017-11-08-07-07-33","10.687","41.0","45.812","34.875","50.375",
"2017-11-08-07-09-24","10.562","44.375","44.062","34.5","46.312",
"2017-11-08-07-11-12","10.562","47.812","41.25","35.625","40.125",
"2017-11-08-07-13-13","10.5","47.625","38.375","36.937","38.875",
"2017-11-08-07-15-07","10.5","44.937","36.5","37.625","38.062",
"2017-11-08-07-17-01","10.437","41.75","35.375","38.0","37.687",
"2017-11-08-07-18-56","10.375","39.375","34.312","38.187","37.375",
"2017-11-08-07-20-47","10.312","38.187","33.562","38.25","36.937",
"2017-11-08-07-22-33","10.312","36.875","32.937","38.125","36.687",
"2017-11-08-07-24-23","10.187","36.25","32.312","38.0","36.375",
"2017-11-08-07-26-12","10.062","35.687","31.812","37.812","36.062",
"2017-11-08-07-28-03","10.062","35.25","31.375","37.562","35.812",
"2017-11-08-07-29-52","10.062","34.875","30.875","37.312","35.562",
"2017-11-08-07-31-46","10.062","34.562","30.437","37.0","35.312",
"2017-11-08-07-33-35","10.062","34.375","30.062","36.75","35.0",
"2017-11-08-07-35-28","10.062","34.25","29.75","36.5","34.812",
"2017-11-08-07-37-17","10.0","34.062","29.375","36.187","34.562",
"2017-11-08-07-39-06","10.0","33.937","29.125","35.937","34.375",
"2017-11-08-07-41-02","9.875","33.875","28.812","35.687","34.187",
"2017-11-08-07-42-49","9.937","33.812","28.625","35.437","34.0",
"2017-11-08-07-44-44","9.875","33.75","31.562","35.25","33.875",
"2017-11-08-07-46-36","9.875","33.75","46.5","35.0","36.25",
"2017-11-08-07-48-24","10.0","33.687","55.812","35.0","40.375",
"2017-11-08-07-50-12","10.062","33.625","59.687","35.5","41.5",
"2017-11-08-07-52-01","10.125","33.562","61.5","36.562","43.312",
"2017-11-08-07-53-49","10.187","33.375","62.187","37.812","43.312",
"2017-11-08-07-55-33","10.25","33.187","62.375","39.0","43.187",
"2017-11-08-07-57-29","10.25","33.0","62.437","40.312","42.25",
"2017-11-08-07-59-17","10.312","32.75","62.312","41.187","42.0",
"2017-11-08-08-01-08","10.375","32.375","62.437","41.75","42.5",
"2017-11-08-08-03-00","10.5","32.062","62.375","42.062","43.375",
"2017-11-08-08-04-50","10.5","31.687","62.437","42.312","44.125",
"2017-11-08-08-06-44","10.562","31.375","62.437","42.625","44.75",
"2017-11-08-08-08-32","10.5","31.062","62.375","43.0","45.187",
"2017-11-08-08-10-24","10.5","30.812","62.375","43.375","45.625",
"2017-11-08-08-12-13","10.5","30.562","62.437","43.812","46.062",
"2017-11-08-08-14-04","10.625","30.312","62.5","44.375","46.437",
"2017-11-08-08-15-56","10.625","30.062","62.5","44.812","46.562",
"2017-11-08-08-17-50","10.625","29.875","62.375","45.375","47.062",
"2017-11-08-08-19-43","10.687","29.562","62.437","45.812","47.25",
"2017-11-08-08-21-33","10.687","29.25","62.5","46.187","47.312",
"2017-11-08-08-23-22","10.75","29.0","62.5","46.562","46.75",
"2017-11-08-08-25-12","10.75","28.812","62.5","46.75","46.0",
"2017-11-08-08-27-05","10.812","28.562","62.312","46.875","45.187",
"2017-11-08-08-29-00","10.875","28.437","62.437","46.937","44.437",
"2017-11-08-08-30-50","10.937","28.25","62.562","46.937","43.75",
"2017-11-08-08-32-41","11.0","28.062","62.625","46.937","43.062",
"2017-11-08-08-34-37","11.125","28.062","55.5","46.937","42.375",
"2017-11-08-08-36-24","11.125","27.937","49.875","46.937","41.75",
"2017-11-08-08-38-19","11.125","27.75","46.5","46.937","41.062",
"2017-11-08-08-40-07","11.187","27.5","44.812","46.937","40.437",
"2017-11-08-08-41-52","11.187","27.187","43.75","46.937","39.812",
"2017-11-08-08-43-45","11.25","27.0","43.062","46.937","39.187",
"2017-11-08-08-45-32","11.375","26.812","42.625","46.875","38.687",
"2017-11-08-08-47-23","11.437","26.687","42.312","46.875","38.062",
"2017-11-08-08-49-13","11.5","27.125","42.062","46.875","37.562",
"2017-11-08-08-51-06","11.562","27.187","42.0","46.875","37.062",
"2017-11-08-08-52-57","11.625","27.812","41.937","46.875","36.562",
"2017-11-08-08-54-48","11.625","34.75","41.875","46.875","36.062",
